loan_id,origination_date,vintage,months_on_book,fico_score,income,debt_to_income,num_open_trades,utilization_rate,inquiries_last_6m,loan_amount,term,apr,channel,product_type,employment_length,state,age,days_past_due_current,total_payments_to_date,sample_weight,default_12m
LOAN_000038,2022-09-01,202209,9,739,38289,0.5959,10,0.3683,0,27075,36,7.1,Partner,Personal,12,FL,50,0,18670.48,1.036,0
LOAN_000039,2021-09-01,202109,9,783,126317,0.46,8,0.3926,3,35763,60,25.55,Direct,Personal,37,GA,43,0,32620.69,1.07,0
LOAN_000040,2024-03-01,202403,8,586,52109,0.1078,9,0.4895,2,17647,36,13.95,Direct,Home_Improvement,28,TX,24,0,14884.4,0.9814,0
LOAN_000041,2022-06-01,202206,17,734,13174,0.7427,5,0.3753,0,4566,36,14.99,Mail,Personal,11,Other,68,15,3272.1,0.9416,0
LOAN_000042,2021-04-01,202104,1,722,49024,0.6908,4,0.839,2,16282,36,3.0,Mail,Personal,23,TX,23,0,8235.34,0.9849,0
LOAN_000043,2023-01-01,202301,23,637,77785,0.2451,6,0.4882,1,9609,36,15.8,Partner,Auto,0,TX,58,120,530.77,3.3691,1
LOAN_000044,2022-02-01,202202,4,675,31914,0.5708,8,0.7902,4,42750,60,19.25,Direct,Debt_Consolidation,25,CA,37,0,39159.28,0.9316,0
LOAN_000045,2021-09-01,202109,20,822,83729,0.352,10,0.6318,0,9601,60,3.0,Partner,Auto,11,Other,52,0,6466.97,1.1183,0
LOAN_000046,2023-02-01,202302,10,803,39800,0.6865,5,0.4039,4,3553,36,6.41,Partner,Home_Improvement,33,Other,60,0,3359.17,1.1396,0
LOAN_000047,2021-02-01,202102,5,842,33977,0.6895,2,0.2977,1,2438,36,14.83,Partner,Debt_Consolidation,20,Other,32,0,2376.26,1.1065,0
LOAN_000048,2022-08-01,202208,7,834,18770,0.5678,9,0.5345,3,38040,60,4.09,Partner,Debt_Consolidation,30,CA,43,0,23215.81,0.8742,0
LOAN_000049,2023-04-01,202304,7,785,48604,0.1169,8,0.5498,1,26369,60,17.33,Partner,Personal,9,TX,72,0,13629.43,1.1991,0
LOAN_000050,2021-07-01,202107,24,755,137521,0.1039,3,0.7404,1,3574,36,3.78,Direct,Debt_Consolidation,18,TX,72,0,2384.32,1.004,0
LOAN_000051,2024-08-01,202408,9,662,25955,0.6573,6,0.3672,1,3816,36,13.28,Partner,Home_Improvement,34,CA,48,0,3107.39,0.9695,0
LOAN_000052,2021-08-01,202108,10,816,85792,0.1095,2,0.9345,2,2346,36,15.37,Partner,Auto,26,Other,46,0,1762.85,1.0505,0
LOAN_000053,2023-11-01,202311,18,773,78389,0.3843,11,0.7688,0,48425,36,15.77,Partner,Debt_Consolidation,39,NY,31,15,33753.9,1.108,0
LOAN_000054,2022-02-01,202202,24,825,93412,0.3509,5,0.7479,0,45351,36,24.75,Partner,Debt_Consolidation,3,TX,21,0,44757.16,1.1418,0
LOAN_000055,2022-05-01,202205,13,743,104194,0.3761,12,0.4837,5,45891,36,18.13,Direct,Personal,6,CA,25,0,41301.79,0.8122,0
LOAN_000056,2023-12-01,202312,10,599,11123,0.479,7,0.5903,1,21316,60,10.2,Direct,Personal,24,IL,33,15,16723.52,0.9474,0
LOAN_000057,2024-04-01,202404,2,590,104062,0.8569,11,0.5985,2,26541,36,15.65,Partner,Personal,18,CA,30,0,23871.32,1.107,0
LOAN_000058,2021-04-01,202104,0,559,49462,0.1959,8,0.4001,1,16763,60,9.98,Direct,Home_Improvement,4,FL,43,0,9536.81,1.1522,0
LOAN_000059,2021-02-01,202102,20,730,50330,0.3408,9,0.759,2,2978,60,19.0,Direct,Business,28,Other,42,0,2037.13,0.9684,0
LOAN_000060,2021-06-01,202106,22,726,19422,0.1633,11,0.95,0,11569,60,19.41,Partner,Debt_Consolidation,35,FL,44,0,6332.99,1.1635,0
LOAN_000061,2024-06-01,202406,2,657,80309,0.564,12,0.8699,1,31766,60,11.35,Partner,Personal,13,TX,46,15,27916.08,0.8494,0
LOAN_000062,2021-04-01,202104,8,616,21032,0.1858,8,0.1208,4,18823,36,3.0,Partner,Debt_Consolidation,16,Other,65,0,18152.92,0.955,0
LOAN_000063,2023-05-01,202305,0,585,32366,0.1819,13,0.3823,2,28225,60,16.68,Direct,Debt_Consolidation,13,CA,37,0,16472.06,0.9694,0
LOAN_000064,2022-06-01,202206,21,716,12333,0.2195,10,0.6268,0,28095,60,10.54,Partner,Home_Improvement,14,IL,39,0,19550.0,0.87,0
LOAN_000065,2023-02-01,202302,11,828,45562,0.1596,6,0.3814,4,8321,36,24.85,Direct,Home_Improvement,1,CA,36,0,4549.12,0.8237,0
LOAN_000066,2024-08-01,202408,11,828,49229,0.3649,9,0.1312,1,2075,36,13.15,Partner,Personal,2,CA,57,0,1277.26,1.1156,0
LOAN_000067,2023-10-01,202310,5,649,92535,0.3663,7,0.7489,1,29810,36,4.98,Partner,Auto,25,GA,31,0,17708.63,0.9042,0
LOAN_000068,2021-10-01,202110,7,830,41288,0.5987,7,0.6245,1,11177,36,16.6,Partner,Personal,31,GA,72,15,8907.41,0.9198,0
LOAN_000069,2023-12-01,202312,2,609,39557,0.2464,12,0.87,1,37546,36,5.55,Direct,Home_Improvement,13,TX,27,15,19020.21,0.8747,0
LOAN_000070,2022-02-01,202202,20,99999,48627,0.7508,11,0.1755,5,18426,60,18.24,Direct,Personal,20,Other,66,0,10990.81,1.1432,0
LOAN_000071,2023-07-01,202307,10,710,44825,0.3736,11,0.527,1,21920,36,14.18,Partner,Auto,12,Other,58,0,19568.47,0.9981,0
LOAN_000072,2022-03-01,202203,10,710,29086,0.1978,10,0.7544,3,13098,36,6.53,Direct,Personal,14,NY,73,0,11761.17,0.983,0
LOAN_000073,2021-08-01,202108,4,742,27702,0.6082,8,0.4683,1,11548,36,18.26,Partner,Personal,23,IL,27,0,7662.34,1.1221,0
LOAN_000074,2022-02-01,202202,23,99999,267570,0.214,4,0.5045,2,38162,36,9.4,Direct,Personal,4,Other,34,0,29598.08,0.9809,0
LOAN_000075,2022-11-01,202211,6,843,49572,0.3039,11,0.2677,1,14577,36,16.21,Partner,Personal,35,CA,25,0,11803.0,0.9874,0
LOAN_000076,2024-04-01,202404,18,701,54798,0.3091,9,0.4714,4,22587,36,16.17,Partner,Auto,10,Other,50,15,21854.03,0.9201,0
LOAN_000077,2022-09-01,202209,6,764,36041,0.0247,9,0.2342,3,38672,36,19.4,Direct,Debt_Consolidation,39,CA,71,0,36136.65,1.0093,0
LOAN_000078,2022-04-01,202204,9,835,34643,0.723,8,0.2686,1,36642,36,17.72,Direct,Personal,24,IL,22,0,21280.26,1.1672,0
LOAN_000079,2024-09-01,202409,7,607,45548,0.2746,7,0.6854,2,35812,36,16.54,Partner,Auto,0,CA,56,0,23186.66,1.1572,0
LOAN_000080,2022-06-01,202206,20,767,107575,0.6086,12,0.5876,1,47705,60,15.52,Mail,Debt_Consolidation,26,GA,59,0,47129.9,1.1791,0
LOAN_000081,2022-12-01,202212,20,670,23057,0.2064,7,0.528,2,10258,36,19.1,Direct,Personal,16,CA,66,0,9160.59,1.1766,0
LOAN_000082,2023-02-01,202302,13,693,55067,0.2982,6,0.7592,3,43301,36,12.94,Partner,Business,1,TX,74,0,25255.46,0.9181,0
LOAN_000083,2023-01-01,202301,0,693,-1,0.2313,9,0.8027,0,15117,36,8.27,Partner,Home_Improvement,22,Other,44,0,12409.54,1.0979,0
LOAN_000084,2024-09-01,202409,12,844,81088,0.3539,6,0.7255,2,30601,36,9.84,Direct,Personal,33,Other,70,0,18193.13,1.093,0
LOAN_000085,2024-05-01,202405,23,595,60591,0.7169,9,0.5642,1,6618,60,3.0,Direct,Debt_Consolidation,6,TX,68,0,4990.27,1.0398,0
LOAN_000086,2023-05-01,202305,5,700,49835,0.5598,8,0.6877,2,34251,36,14.93,Mail,Debt_Consolidation,20,CA,47,0,32129.73,0.9501,0
LOAN_000087,2022-03-01,202203,5,575,68183,0.8928,7,0.5309,2,29077,36,11.82,Partner,Personal,8,Other,26,0,24095.81,1.0405,0
LOAN_000088,2024-09-01,202409,20,630,90575,0.3483,14,0.1932,3,8643,36,6.69,Partner,Debt_Consolidation,15,GA,58,0,5445.34,1.1046,0
LOAN_000089,2021-01-01,202101,4,651,92379,0.1847,10,0.9416,0,23305,60,13.41,Direct,Home_Improvement,6,IL,72,0,20750.66,0.8266,0
LOAN_000090,2023-01-01,202301,2,658,85330,0.513,8,0.6861,2,35604,36,3.0,Partner,Home_Improvement,26,GA,27,15,19567.03,1.0386,0
LOAN_000091,2021-07-01,202107,11,829,86137,0.6345,5,0.2029,2,13197,60,17.42,Direct,Business,27,Other,21,0,11375.48,1.1646,0
LOAN_000092,2021-09-01,202109,14,676,41826,0.6524,6,0.7969,2,35800,36,12.98,Mail,Auto,8,Other,63,0,28780.24,1.1076,0
LOAN_000093,2022-12-01,202212,2,656,44494,0.2738,9,0.7125,1,32316,36,19.12,Direct,Auto,8,GA,31,0,16596.33,1.0224,0
LOAN_000094,2021-01-01,202101,15,719,29063,0.458,8,0.681,0,27099,36,26.59,Direct,Personal,30,Other,29,0,16235.19,0.8188,0
LOAN_000095,2024-08-01,202408,17,675,47714,0.7558,8,0.455,3,4436,36,14.89,Direct,Personal,14,Other,44,0,2491.03,1.0852,0
LOAN_000096,2021-08-01,202108,8,576,20776,0.4046,8,0.0539,2,1429,36,6.77,Direct,Personal,1,NY,33,0,1422.71,1.0344,0
LOAN_000097,2022-12-01,202212,7,679,37081,0.2909,6,0.7015,0,23715,36,13.29,Partner,Debt_Consolidation,28,NY,55,0,15646.54,1.086,0
LOAN_000098,2021-11-01,202111,10,665,17684,0.3686,7,0.7098,99,2919,36,21.33,Partner,Home_Improvement,39,Other,53,0,2335.45,1.0178,0
LOAN_000099,2022-05-01,202205,2,685,15036,0.2635,9,0.0624,2,37260,36,19.39,Direct,Personal,3,FL,60,15,27488.26,0.8608,0
LOAN_000100,2021-08-01,202108,4,718,15894,0.368,12,0.2335,4,46613,36,21.04,Direct,Personal,24,Other,71,15,32886.82,1.168,0
LOAN_000101,2023-11-01,202311,9,99999,18290,0.455,10,0.5808,0,7087,36,3.0,Direct,Home_Improvement,7,FL,60,0,5888.16,0.8648,0
LOAN_000102,2023-11-01,202311,4,640,94778,0.341,9,0.4189,3,4601,60,16.08,Partner,Debt_Consolidation,19,Other,30,0,3828.41,1.0859,0
LOAN_000103,2023-09-01,202309,7,699,35712,0.5967,5,0.3272,2,14756,60,14.27,Partner,Home_Improvement,31,GA,41,0,9742.08,0.8384,0
LOAN_000104,2021-05-01,202105,5,596,34667,0.4158,12,0.7635,1,21454,36,6.03,Partner,Auto,30,Other,21,15,13576.86,0.8831,0
LOAN_000105,2024-06-01,202406,22,99999,18730,0.231,7,0.5313,2,31302,36,9.07,Mail,Personal,6,Other,42,0,20095.26,1.1062,0
LOAN_000106,2024-03-01,202403,20,746,-1,0.5227,8,0.7128,3,29777,36,16.9,Direct,Auto,33,NY,39,0,26978.13,0.8518,0
LOAN_000107,2024-05-01,202405,15,835,66264,0.1294,12,0.7392,3,8652,36,9.15,Mail,Debt_Consolidation,2,Other,66,0,4444.79,1.0073,0
LOAN_000108,2023-04-01,202304,11,799,69369,0.445,11,0.906,2,27033,36,9.97,Direct,Personal,27,Other,40,0,18009.46,1.0408,0
LOAN_000109,2021-07-01,202107,16,811,76727,0.2255,5,0.4929,1,25273,36,13.21,Partner,Home_Improvement,10,Other,42,15,14343.58,1.0196,0
LOAN_000110,2021-09-01,202109,7,636,50385,0.1994,9,0.0961,0,44692,36,20.75,Direct,Home_Improvement,39,FL,62,120,7828.86,3.1162,1
LOAN_000111,2021-08-01,202108,3,601,56977,0.3309,8,0.644,3,28255,60,13.6,Direct,Debt_Consolidation,39,TX,66,0,19457.67,0.9252,0
LOAN_000112,2021-12-01,202112,20,554,45566,0.7855,16,0.5885,4,28208,36,13.72,Partner,Debt_Consolidation,6,Other,26,0,15664.64,1.1832,0
LOAN_000113,2023-10-01,202310,16,763,65891,0.1805,9,0.7849,2,30381,36,11.71,Partner,Auto,20,Other,63,0,27938.88,1.0105,0
LOAN_000114,2023-09-01,202309,2,590,74260,0.8478,7,0.7954,1,7386,36,8.28,Partner,Debt_Consolidation,34,CA,47,0,4031.9,0.9972,0
LOAN_000115,2022-11-01,202211,17,716,32557,0.4268,5,0.2552,2,49193,60,16.06,Direct,Personal,26,Other,64,0,36725.66,1.1755,0
LOAN_000116,2022-12-01,202212,15,579,21356,0.7996,14,0.1801,1,17440,60,27.35,Partner,Business,28,Other,29,0,11907.37,1.0175,0
LOAN_000117,2024-01-01,202401,1,597,99800,0.294,5,0.5762,1,45931,60,10.27,Direct,Home_Improvement,13,CA,56,0,31704.84,0.9362,0
LOAN_000118,2023-11-01,202311,12,758,108604,0.7111,6,0.2137,0,10644,36,11.8,Partner,Business,28,Other,28,0,5554.06,0.8515,0
LOAN_000119,2024-08-01,202408,0,737,25758,0.1311,6,0.6878,3,16754,36,8.66,Direct,Home_Improvement,4,Other,23,0,10417.0,0.8786,0
LOAN_000120,2024-04-01,202404,21,672,36478,0.3771,12,0.3076,99,10400,36,17.84,Mail,Debt_Consolidation,38,GA,41,0,6522.83,0.8543,0
LOAN_000121,2022-10-01,202210,23,700,114892,0.185,6,0.482,1,2662,36,6.34,Direct,Home_Improvement,34,IL,51,0,1910.24,0.9347,0
LOAN_000122,2023-03-01,202303,2,727,41537,0.4318,6,0.5221,5,15537,36,3.55,Partner,Auto,21,TX,62,15,14563.6,0.8068,0
LOAN_000123,2023-11-01,202311,0,562,26156,0.9198,11,0.4243,6,46711,36,22.17,Partner,Auto,21,Other,39,0,28980.6,1.1725,0
LOAN_000124,2021-01-01,202101,1,659,91907,0.4522,12,0.1851,3,25506,36,10.2,Direct,Auto,21,Other,62,0,17649.35,1.031,0
LOAN_000125,2023-11-01,202311,18,783,31308,0.2681,8,0.4097,0,33249,60,13.77,Direct,Home_Improvement,7,Other,32,0,30098.05,1.1725,0
LOAN_000126,2024-01-01,202401,21,587,23040,0.6115,9,0.213,2,5159,36,11.65,Direct,Personal,2,TX,73,0,3324.58,1.1908,0
LOAN_000127,2022-02-01,202202,2,844,28621,0.7351,4,0.7314,1,10629,60,11.81,Direct,Personal,6,Other,49,15,7700.89,1.0974,0
LOAN_000128,2021-03-01,202103,24,729,66269,0.6674,12,0.3442,2,45159,36,3.0,Partner,Personal,14,Other,69,0,24954.32,1.1599,0
LOAN_000129,2021-01-01,202101,0,671,17692,0.5305,9,0.3067,2,47504,60,10.27,Partner,Auto,20,Other,57,0,45545.12,1.0313,0
LOAN_000130,2021-05-01,202105,22,641,39172,0.6336,5,0.3578,1,1160,36,3.0,Mail,Auto,24,Other,51,0,946.48,0.8319,0
LOAN_000131,2023-02-01,202302,23,576,25099,0.3053,7,0.5339,3,38745,36,13.27,Partner,Debt_Consolidation,17,CA,24,15,27319.61,0.993,0
LOAN_000132,2022-02-01,202202,8,568,132738,0.1018,8,0.4506,3,45212,36,10.01,Direct,Personal,18,NY,43,0,44945.11,1.1121,0
LOAN_000133,2024-03-01,202403,7,637,29395,0.2578,11,0.8619,3,12719,36,14.74,Partner,Personal,4,FL,74,15,7669.27,0.8824,0
LOAN_000134,2023-03-01,202303,4,642,46644,0.705,14,0.6251,4,3703,36,21.96,Direct,Debt_Consolidation,6,TX,28,0,3493.28,0.9037,0
LOAN_000135,2021-09-01,202109,0,811,45060,0.2649,13,0.3171,99,3641,36,16.35,Direct,Auto,4,TX,56,15,2406.85,1.0056,0
LOAN_000136,2022-03-01,202203,14,590,30929,0.5799,10,0.8434,1,49901,36,4.8,Direct,Debt_Consolidation,34,Other,34,15,48559.34,1.0843,0
LOAN_000137,2022-03-01,202203,16,846,13473,0.3561,8,0.7605,2,48676,60,6.01,Partner,Debt_Consolidation,23,Other,44,0,27820.08,0.858,0
LOAN_000138,2023-02-01,202302,14,731,148490,0.5943,11,0.0632,0,33336,60,10.24,Mail,Personal,12,Other,65,90,6000.93,2.5361,1
LOAN_000139,2024-06-01,202406,7,789,42193,0.2876,14,0.5604,0,33130,36,8.25,Direct,Personal,2,TX,55,0,20030.83,0.977,0
LOAN_000140,2022-01-01,202201,22,597,24790,0.277,6,0.2955,3,14563,36,14.9,Direct,Business,30,CA,60,0,8738.55,0.9928,0
LOAN_000141,2023-08-01,202308,20,642,167730,0.1168,10,0.3505,1,10340,60,3.0,Direct,Personal,10,TX,54,0,8148.65,0.9139,0
LOAN_000142,2024-03-01,202403,2,733,101960,0.0898,10,0.4442,4,5889,36,17.59,Mail,Debt_Consolidation,32,Other,33,0,5693.43,1.1945,0
LOAN_000143,2023-08-01,202308,8,805,27756,0.744,8,0.4467,0,48589,36,3.0,Direct,Home_Improvement,2,IL,70,0,33541.14,0.8035,0
LOAN_000144,2021-04-01,202104,19,582,40353,0.4609,8,0.8039,2,40981,36,9.91,Direct,Auto,35,GA,36,0,28799.12,1.1516,0
LOAN_000145,2023-06-01,202306,13,768,34051,0.1602,7,0.5058,3,20569,60,5.12,Direct,Personal,14,Other,59,15,11312.98,1.0097,0
LOAN_000146,2024-01-01,202401,5,651,43970,0.1757,13,0.266,1,13542,36,18.32,Partner,Personal,19,IL,36,0,8753.77,1.1103,0
LOAN_000147,2022-11-01,202211,19,623,44056,0.1737,9,0.7475,3,13002,36,17.27,Direct,Auto,3,NY,25,0,7328.46,1.1296,0
LOAN_000148,2024-03-01,202403,24,99999,57357,0.6927,6,0.3726,1,17143,36,5.63,Direct,Personal,9,Other,67,0,9886.07,0.9913,0
LOAN_000149,2024-09-01,202409,3,684,45348,0.776,10,0.71,2,45057,36,14.78,Partner,Home_Improvement,14,TX,53,0,28805.76,1.0912,0
LOAN_000150,2022-03-01,202203,23,834,48947,0.0785,5,0.4292,3,36186,36,14.68,Partner,Home_Improvement,11,CA,49,0,33673.54,0.8857,0
LOAN_000151,2024-07-01,202407,11,757,29481,0.7482,6,0.8947,3,43527,60,15.18,Partner,Personal,22,Other,65,0,26854.31,0.895,0
LOAN_000152,2023-05-01,202305,2,614,52471,0.665,8,0.7274,3,33802,36,5.05,Partner,Debt_Consolidation,38,Other,35,15,20625.57,0.905,0
LOAN_000153,2023-12-01,202312,23,840,79166,0.5663,7,0.6789,0,22064,36,11.9,Direct,Debt_Consolidation,2,Other,65,15,21542.5,1.0828,0
LOAN_000154,2022-01-01,202201,2,99999,26766,0.2769,7,0.5502,4,6223,36,22.54,Direct,Personal,22,CA,59,15,5109.62,1.0551,0
LOAN_000155,2023-08-01,202308,20,734,31726,0.6056,10,0.2947,3,9667,36,13.07,Partner,Personal,20,NY,45,15,8071.83,0.8575,0
LOAN_000156,2021-07-01,202107,16,578,29258,0.1181,10,0.7465,2,27732,36,3.0,Partner,Personal,21,Other,60,0,26686.81,0.9516,0
LOAN_000157,2022-10-01,202210,5,843,37823,0.5825,12,0.5961,3,24541,36,3.0,Direct,Personal,11,CA,56,0,15148.12,1.0336,0
LOAN_000158,2023-04-01,202304,14,754,81764,0.1506,4,0.2319,4,31031,36,12.21,Direct,Auto,5,TX,70,0,22400.24,0.8162,0
LOAN_000159,2021-02-01,202102,10,781,34126,0.3554,10,0.6955,4,24001,36,15.67,Direct,Personal,36,NY,60,0,16187.27,0.8116,0
LOAN_000160,2024-06-01,202406,17,659,29667,0.1519,10,0.6089,1,32288,36,11.89,Partner,Auto,32,CA,23,0,22742.29,0.8756,0
LOAN_000161,2024-09-01,202409,2,629,60163,0.1907,6,0.6421,1,15708,36,3.0,Direct,Personal,35,Other,22,0,13487.59,0.9516,0
LOAN_000162,2021-06-01,202106,16,99999,70005,0.4656,12,0.4182,2,22843,36,11.87,Partner,Business,10,Other,31,15,16795.59,1.0218,0
LOAN_000163,2023-04-01,202304,10,585,17401,0.5018,9,0.579,1,46987,36,32.45,Partner,Business,18,GA,29,15,26058.64,0.9519,0
LOAN_000164,2023-04-01,202304,5,601,35358,0.6579,9,0.3605,2,13209,36,3.0,Direct,Home_Improvement,15,Other,40,0,7635.69,0.8804,0
LOAN_000165,2024-08-01,202408,4,832,33325,0.6286,6,0.7778,2,12172,36,15.97,Direct,Home_Improvement,30,Other,62,0,10151.16,0.9305,0
LOAN_000166,2024-08-01,202408,9,574,107146,0.2734,8,0.9109,2,15399,36,21.21,Partner,Home_Improvement,35,TX,63,0,14234.35,0.9231,0
LOAN_000167,2022-08-01,202208,1,717,66145,0.7563,4,0.6548,4,47610,36,15.41,Direct,Debt_Consolidation,20,CA,26,0,41986.28,1.089,0
LOAN_000168,2023-06-01,202306,14,834,55668,0.392,12,0.7706,0,47591,36,5.64,Partner,Auto,18,TX,46,0,28185.24,0.8388,0
LOAN_000169,2021-11-01,202111,10,552,108097,0.0815,15,0.8715,2,23702,36,10.72,Direct,Home_Improvement,21,FL,42,0,18643.58,1.1165,0
LOAN_000170,2023-04-01,202304,23,690,73288,0.4986,6,0.856,4,29826,60,16.44,Partner,Auto,3,NY,59,0,27787.99,0.922,0
LOAN_000171,2023-01-01,202301,24,688,39507,0.4225,9,0.5818,0,42988,60,5.09,Direct,Auto,23,TX,51,0,33072.71,1.0291,0
LOAN_000172,2024-03-01,202403,13,551,63990,0.72,9,0.2381,6,19573,36,16.1,Direct,Debt_Consolidation,37,GA,48,0,13203.97,1.0967,0
LOAN_000173,2023-09-01,202309,13,818,60269,0.3079,7,0.3168,1,49504,36,3.63,Direct,Personal,27,Other,23,15,39329.94,0.8786,0
LOAN_000174,2021-01-01,202101,2,584,57592,0.3145,13,0.2448,6,38591,36,11.35,Mail,Personal,34,CA,64,0,20040.29,0.8672,0
